ID;date;shipping_cost;total_order_cost;shipping_method;payment_method;destination_province;origin_province
10207902550;21/7/2010;315;12304;nube-envios;custom;Buenos Aires;Capital Federal
10207979646;21/7/2010;378,03;17268;nube-envios;mercadopago;Chubut;Capital Federal
10212627440;21/7/2010;438,26;14678;nube-envios;custom;Buenos Aires;Capital Federal
10214775272;21/7/2010;378,03;17268;nube-envios;mercadopago;Jujuy;Capital Federal
10234625629;21/7/2012;0;50090;branch;mercadopago;Gran Buenos Aires;Capital Federal
10239027369;21/7/2012;350;14590;custom;custom;Capital Federal;Capital Federal
10246738763;21/7/2013;350;18050;custom;mercadopago;Capital Federal;Capital Federal
10248098477;21/7/2013;350;14350;custom;custom;Capital Federal;Capital Federal
10259958749;21/7/2014;376,32;17766;nube-envios;mercadopago;Formosa;Capital Federal
10264741415;21/7/2014;454,34;33334;nube-envios;mercadopago;Formosa;Capital Federal
10268722485;21/7/2015;375,54;12280;nube-envios;custom;Córdoba;Capital Federal
10275683136;21/7/2015;550;15280;nube-envios;mercadopago;Jujuy;Capital Federal
10286129322;21/7/2016;350;17550;custom;mercadopago;Capital Federal;Capital Federal
10298325670;21/7/2017;350;13744;nube-envios;custom;Buenos Aires;Capital Federal
10305795035;21/7/2018;375,54;15556;nube-envios;mercadopago;Buenos Aires;Capital Federal
10310792843;21/7/2018;439,86;17940;nube-envios;mercadopago;Rio Negro;Capital Federal
10341302596;21/7/2020;350;24638;custom;custom;Capital Federal;Capital Federal
10343573271;21/1/2021;375,54;-17276;nube-envios;mercadopago;Buenos Aires;Capital Federal
10344715750;21/7/2021;438,26;18338;nube-envios;mercadopago;Buenos Aires;Capital Federal
10347751244;21/7/2021;376,32;17168;nube-envios;custom;Corrientes;Capital Federal
10352806713;21/7/2021;350;15230;custom;custom;Capital Federal;Capital Federal
10356316628;21/7/2024;180;32480;nube-envios;mercadopago;Capital Federal;Capital Federal
10358321055;21/7/2022;375,54;12520;nube-envios;custom;Buenos Aires;Capital Federal
10362360338;21/7/2022;376,32;9808;nube-envios;custom;Neuquén;Capital Federal
10377841799;21/7/2023;690;11390;nube-envios;mercadopago;Rio Negro;Capital Federal
10382664117;21/7/2024;438,26;19538;nube-envios;mercadopago;Córdoba;Capital Federal
10382866609;21/7/2024;413;13432;nube-envios;custom;Santa Fe;Capital Federal
10383904576;21/7/2024;375,54;11088;nube-envios;custom;La Pampa;Capital Federal
5854046434;21/7/2016;100;2393;custom;mercadopago;Capital Federal;Capital Federal
6077907780;21/7/2006;100;2920;custom;mercadopago;Capital Federal;Capital Federal
7460440402;21/7/2021;0;4920;custom;mercadopago;Capital Federal;Capital Federal
7896515664;21/7/2023;0;2555;branch;mercadopago;Capital Federal;Capital Federal
10309195838;21/7/2020;0;4000;branch;mercadopago;;Capital Federal
10315135082;21/7/2018;0;1350;branch;mercadopago;Gran Buenos Aires;Capital Federal
10359344279;21/7/2022;588,23;2588;oca;mercadopago;Gran Buenos Aires;Capital Federal
10363638540;21/7/2022;350;2350;custom;mercadopago;Capital Federal;Capital Federal
10365736623;21/7/2023;350;2050;custom;mercadopago;Capital Federal;Capital Federal
9818481431;21/7/2003;278,99;1569;122471;mercadopago;Salta;Buenos Aires
10072040193;21/7/2022;800;3800;custom;mercadopago;Capital Federal;Capital Federal
10097467314;21/7/2001;500;5600;custom;mercadopago;Capital Federal;Capital Federal
10098192964;21/7/2001;700;4600;custom;mercadopago;Capital Federal;Capital Federal
10099676027;21/7/2001;400;2500;custom;mercadopago;Gran Buenos Aires;Capital Federal
10099937790;21/7/2001;500;3700;custom;mercadopago;Capital Federal;Capital Federal
10103139275;21/7/2001;800;4000;custom;mercadopago;Gran Buenos Aires;Capital Federal
10109236575;21/7/2002;500;6100;custom;mercadopago;Capital Federal;Capital Federal
10110220492;21/7/2002;700;4800;custom;mercadopago;Capital Federal;Capital Federal
10112396844;21/7/2002;500;4400;custom;mercadopago;Capital Federal;Capital Federal
10112610790;21/7/2002;700;7300;custom;mercadopago;Capital Federal;Capital Federal
10132332117;21/7/2004;500;4200;custom;paypal_multiple;Capital Federal;Capital Federal
10139696165;21/7/2004;500;2600;custom;mercadopago;Capital Federal;Capital Federal
10147149430;21/7/2005;700;3300;custom;mercadopago;Capital Federal;Capital Federal
10148261641;21/7/2005;500;4800;custom;mercadopago;Capital Federal;Capital Federal
10148591668;21/7/2005;500;5000;custom;mercadopago;Capital Federal;Capital Federal
10153537220;21/7/2005;400;4100;custom;mercadopago;Gran Buenos Aires;Capital Federal
10156238110;21/7/2006;800;3400;custom;mercadopago;Gran Buenos Aires;Capital Federal
10159627827;21/7/2006;500;5300;custom;mercadopago;Capital Federal;Capital Federal
10161373090;21/7/2006;500;4000;custom;mercadopago;Capital Federal;Capital Federal
10165931529;21/7/2006;700;4200;custom;mercadopago;Capital Federal;Capital Federal
10172200892;21/7/2007;500;4700;custom;paypal_multiple;Capital Federal;Capital Federal
10173412417;21/7/2007;500;6000;custom;mercadopago;Capital Federal;Capital Federal
10175034883;21/7/2007;500;2600;custom;mercadopago;Capital Federal;Capital Federal
10181252772;21/7/2007;1200;4600;custom;mercadopago;Gran Buenos Aires;Capital Federal
10189165968;21/7/2008;500;6000;custom;custom;Capital Federal;Capital Federal
10191519098;21/7/2008;800;4500;custom;mercadopago;Gran Buenos Aires;Capital Federal
10209990651;21/7/2010;400;4100;custom;mercadopago;Gran Buenos Aires;Capital Federal
10214545272;21/7/2010;1400;5600;custom;paypal_multiple;Gran Buenos Aires;Capital Federal
10247310405;21/7/2013;600;4300;custom;mercadopago;Capital Federal;Capital Federal
10249572984;21/7/2013;800;4100;custom;mercadopago;Capital Federal;Capital Federal
10250596530;21/7/2013;600;7600;custom;paypal_multiple;Capital Federal;Capital Federal
10253898456;21/7/2013;1200;5500;custom;mercadopago;Gran Buenos Aires;Capital Federal
10260153306;21/7/2014;800;3300;custom;mercadopago;Capital Federal;Capital Federal
10260184471;21/7/2014;900;3900;custom;mercadopago;Gran Buenos Aires;Capital Federal
10260503481;21/7/2014;600;2800;custom;mercadopago;Capital Federal;Capital Federal
10261392684;21/7/2014;600;4800;custom;paypal_multiple;Capital Federal;Capital Federal
10261824348;21/7/2014;600;3800;custom;mercadopago;Capital Federal;Capital Federal
10262395507;21/7/2014;800;4300;custom;mercadopago;Capital Federal;Capital Federal
10269283225;21/7/2015;600;2800;custom;mercadopago;Capital Federal;Capital Federal
10273124800;21/7/2015;600;3400;custom;mercadopago;Capital Federal;Capital Federal
10273236281;21/7/2015;600;3400;custom;mercadopago;Capital Federal;Capital Federal
10274017798;21/7/2015;600;4800;custom;mercadopago;Capital Federal;Capital Federal
10275576899;21/7/2015;800;5900;custom;mercadopago;Capital Federal;Capital Federal
10276322628;21/7/2015;600;3300;custom;custom;Capital Federal;Capital Federal
10276626136;21/7/2015;600;3300;custom;mercadopago;Capital Federal;Capital Federal
10278343776;21/7/2015;600;3400;custom;mercadopago;Capital Federal;Capital Federal
10281433780;21/7/2016;600;4800;custom;paypal_multiple;Capital Federal;Capital Federal
10289059407;21/7/2016;600;3100;custom;mercadopago;Capital Federal;Capital Federal
10291286129;21/7/2020;800;4200;custom;mercadopago;Capital Federal;Capital Federal
10307982312;21/7/2018;900;5700;custom;mercadopago;Gran Buenos Aires;Capital Federal
10311138188;21/7/2018;600;2900;custom;mercadopago;Capital Federal;Capital Federal
10321140612;21/7/2019;600;4900;custom;mercadopago;Capital Federal;Capital Federal
10322196611;21/7/2019;600;4800;custom;mercadopago;Capital Federal;Capital Federal
10323334881;21/7/2019;600;3800;custom;mercadopago;Capital Federal;Capital Federal
10325562224;21/7/2019;1200;5000;custom;mercadopago;Gran Buenos Aires;Capital Federal
8077502871;21/7/2009;175;3715;custom;mercadopago;Gran Buenos Aires;Capital Federal
8153621923;21/7/2008;0;4175;custom;mercadopago;Capital Federal;Capital Federal
8293718925;21/7/2005;0;8953;custom;mercadopago;Capital Federal;Capital Federal
8438360336;21/7/2020;0;3733;custom;mercadopago;Capital Federal;Capital Federal
8534761041;21/7/2005;100;2180;custom;mercadopago;Capital Federal;Capital Federal
8577050543;21/7/2011;0;3480;custom;mercadopago;Capital Federal;Capital Federal
8933079572;21/7/2011;654,99;11328;mercado-envios;mercadopago;Rio Negro;Capital Federal
8996817172;21/7/2014;0;4249;custom;mercadopago;Capital Federal;Capital Federal
9043550895;21/7/2002;0;6935;branch;mercadopago;Capital Federal;Capital Federal
9183737206;21/7/2013;0;3906;custom;mercadopago;Capital Federal;Capital Federal
9232189719;21/7/2002;554,99;2644;mercado-envios;mercadopago;Córdoba;Capital Federal
9263617747;21/7/2015;0;4160;custom;mercadopago;Capital Federal;Capital Federal
9267249930;21/7/2003;0;3430;custom;mercadopago;Capital Federal;Capital Federal
9289554663;21/7/2011;819,99;5532;mercado-envios;mercadopago;Córdoba;Capital Federal
9353319288;21/7/2012;175;8870;custom;mercadopago;Gran Buenos Aires;Capital Federal
9371639041;21/7/2016;0;5535;custom;mercadopago;Capital Federal;Capital Federal
9417005552;21/7/2017;0;6588;custom;mercadopago;Capital Federal;Capital Federal
9444589958;21/7/2024;0;5139;custom;mercadopago;Capital Federal;Capital Federal
9476996153;21/7/2020;0;3043;branch;mercadopago;Capital Federal;Capital Federal
9553288510;21/7/2010;459;1978;custom;mercadopago;Gran Buenos Aires;Capital Federal
9562333329;21/7/2016;0;4979;branch;mercadopago;Capital Federal;Capital Federal
9591637307;21/7/2007;0;4423;custom;mercadopago;Capital Federal;Capital Federal
9594729565;21/7/2006;0;5120;custom;mercadopago;Capital Federal;Capital Federal
9601730443;21/7/2016;0;4003;branch;mercadopago;Capital Federal;Capital Federal
9624511322;21/7/2004;175;4012;custom;mercadopago;Gran Buenos Aires;Capital Federal
9628415779;21/7/2016;0;3735;custom;mercadopago;Capital Federal;Capital Federal
9650860375;21/7/2020;639,99;8219;mercado-envios;mercadopago;Mendoza;Capital Federal
9658422752;21/7/2004;0;12089;custom;mercadopago;Capital Federal;Capital Federal
9660863098;21/7/2018;0;5055;custom;mercadopago;Capital Federal;Capital Federal
9670850641;21/7/2008;0;4540;custom;mercadopago;Capital Federal;Capital Federal
9679247435;21/7/2012;0;4570;custom;mercadopago;Capital Federal;Capital Federal
9702759898;21/7/2012;0;3330;custom;mercadopago;Capital Federal;Capital Federal
9718554504;21/7/2012;0;4499;custom;mercadopago;Capital Federal;Capital Federal
9720579470;21/7/2001;0;4010;custom;mercadopago;Capital Federal;Capital Federal
9733547514;21/7/2014;0;3570;custom;mercadopago;Capital Federal;Capital Federal
9737504043;21/7/2024;0;6120;custom;mercadopago;Capital Federal;Capital Federal
9740837617;21/7/2005;0;1040;branch;mercadopago;Capital Federal;Capital Federal
9766441953;21/7/2012;175;3824;custom;mercadopago;Gran Buenos Aires;Capital Federal
9767073694;21/7/2004;100;3040;custom;mercadopago;Capital Federal;Capital Federal
9797352343;21/7/2002;100;2765;custom;mercadopago;Capital Federal;Capital Federal
9806560784;21/7/2001;0;6371;custom;mercadopago;Capital Federal;Capital Federal
9809123168;21/7/2019;0;6610;custom;mercadopago;Capital Federal;Capital Federal
9812397264;21/7/2001;0;8839;branch;mercadopago;Gran Buenos Aires;Capital Federal
9813101409;21/7/2004;0;6651;custom;mercadopago;Capital Federal;Capital Federal
9818818611;21/7/2002;0;4067;custom;mercadopago;Capital Federal;Capital Federal
9819931512;21/7/2005;714,99;5815;mercado-envios;mercadopago;Santa Cruz;Capital Federal
9821312892;21/7/2005;0;4854;custom;mercadopago;Capital Federal;Capital Federal
9827710848;21/7/2005;0;4725;branch;mercadopago;Capital Federal;Capital Federal
9831049735;21/7/2017;0;7361;custom;mercadopago;Capital Federal;Capital Federal
9839286495;21/7/2010;0;1670;branch;mercadopago;Buenos Aires;Capital Federal
9840262707;21/7/2016;100;2527;custom;mercadopago;Capital Federal;Capital Federal
9845687832;21/7/2012;0;5580;custom;mercadopago;Capital Federal;Capital Federal
9851017714;21/7/2002;0;3543;custom;mercadopago;Capital Federal;Capital Federal
9857568689;21/7/2006;554,99;5245;mercado-envios;mercadopago;Buenos Aires;Capital Federal
9864760467;21/7/2003;0;3020;custom;mercadopago;Capital Federal;Capital Federal
9868844600;21/7/2006;160;1295;custom;mercadopago;Capital Federal;Capital Federal
9870896407;21/7/2006;100;2025;custom;mercadopago;Capital Federal;Capital Federal
9885061371;21/7/2019;0;8240;custom;mercadopago;Capital Federal;Capital Federal
9888864904;21/7/2017;0;1984;branch;mercadopago;Capital Federal;Capital Federal
9891397181;21/7/2001;0;12932;custom;mercadopago;Capital Federal;Capital Federal
9898777858;21/7/2014;0;3478;branch;mercadopago;Capital Federal;Capital Federal
9899243976;21/7/2016;100;3030;custom;mercadopago;Capital Federal;Capital Federal
9900544419;21/7/2014;0;3045;custom;mercadopago;Capital Federal;Capital Federal
9900727292;21/7/2002;0;3809;custom;mercadopago;Capital Federal;Capital Federal
9911906557;21/7/2015;0;5269;custom;mercadopago;Capital Federal;Capital Federal
9913183126;21/7/2004;0;6140;custom;mercadopago;Capital Federal;Capital Federal
9914816793;21/7/2001;100;1610;custom;mercadopago;Capital Federal;Capital Federal
9915705398;21/7/2013;299;3816;custom;mercadopago;Gran Buenos Aires;Capital Federal
9916928584;21/7/2010;299;2194;custom;mercadopago;Gran Buenos Aires;Capital Federal
9921769348;21/7/2008;0;4730;custom;mercadopago;Capital Federal;Capital Federal
9923152614;21/7/2001;175;5365;custom;mercadopago;Gran Buenos Aires;Capital Federal
9926950995;21/7/2013;175;6918;custom;mercadopago;Gran Buenos Aires;Capital Federal
9933755591;21/7/2014;0;3438;custom;mercadopago;Capital Federal;Capital Federal
9943165512;21/7/2017;160;630;custom;mercadopago;Capital Federal;Capital Federal
9945846277;21/7/2014;100;2525;custom;mercadopago;Capital Federal;Capital Federal
9951282649;21/7/2013;0;4920;custom;mercadopago;Capital Federal;Capital Federal
9956069409;21/7/2001;0;4965;custom;mercadopago;Capital Federal;Capital Federal
9963184321;21/7/2017;0;3798;custom;mercadopago;Capital Federal;Capital Federal
9967464989;21/7/2016;0;3690;custom;mercadopago;Capital Federal;Capital Federal
9973491288;21/7/2008;299;1857;custom;mercadopago;Gran Buenos Aires;Capital Federal
9975279331;21/7/2012;299;1459;custom;mercadopago;Gran Buenos Aires;Capital Federal
9977280492;21/7/2006;0;10780;branch;mercadopago;Buenos Aires;Capital Federal
9977503109;21/7/2013;0;4073;branch;mercadopago;Capital Federal;Capital Federal
9983769321;21/7/2005;175;5839;custom;mercadopago;Gran Buenos Aires;Capital Federal
9986949117;21/7/2012;0;4499;custom;mercadopago;Capital Federal;Capital Federal
9997899003;21/7/2019;0;4922;custom;mercadopago;Capital Federal;Capital Federal
10000539518;21/7/2007;0;3029;custom;mercadopago;Capital Federal;Capital Federal
10001847459;21/7/2001;0;4662;branch;mercadopago;Capital Federal;Capital Federal
10003092702;21/7/2002;0;2144;branch;mercadopago;Capital Federal;Capital Federal
10003799009;21/7/2007;0;10565;custom;mercadopago;Capital Federal;Capital Federal
10003920679;21/7/2020;100;1809;custom;mercadopago;Capital Federal;Capital Federal
10005968484;21/7/2013;175;10415;custom;mercadopago;Gran Buenos Aires;Capital Federal
10007069517;21/7/2019;0;4835;custom;mercadopago;Capital Federal;Capital Federal
10009637835;21/7/2013;599;4229;custom;mercadopago;Gran Buenos Aires;Capital Federal
10011223133;21/7/2001;0;3160;custom;mercadopago;Capital Federal;Capital Federal
10014519838;21/7/2013;0;5190;custom;mercadopago;Capital Federal;Capital Federal
10014804371;21/7/2001;0;8854;custom;mercadopago;Capital Federal;Capital Federal
10014907687;21/7/2014;0;5193;custom;mercadopago;Capital Federal;Capital Federal
10016319657;21/7/2007;0;3470;custom;mercadopago;Capital Federal;Capital Federal
10018348970;21/7/2022;554,99;3000;mercado-envios;mercadopago;Córdoba;Capital Federal
10019245510;21/7/2014;0;5754;custom;mercadopago;Capital Federal;Capital Federal
10023659440;21/7/2015;0;3667;branch;mercadopago;Capital Federal;Capital Federal
10023708062;21/7/2005;100;1660;custom;mercadopago;Capital Federal;Capital Federal
10025600525;21/7/2019;0;8372;custom;mercadopago;Capital Federal;Capital Federal
10029776796;21/7/2014;0;5398;custom;mercadopago;Capital Federal;Capital Federal
10038437814;21/7/2001;100;3055;custom;mercadopago;Capital Federal;Capital Federal
10039435094;21/7/2022;819,99;5612;mercado-envios;mercadopago;Córdoba;Capital Federal
10043561662;21/7/2009;0;7850;custom;mercadopago;Capital Federal;Capital Federal
10045351729;21/7/2020;160;1445;custom;mercadopago;Capital Federal;Capital Federal
10047575323;21/7/2002;175;4993;custom;mercadopago;Gran Buenos Aires;Capital Federal
10053512060;21/7/2003;0;6769;custom;mercadopago;Capital Federal;Capital Federal
10054309171;21/7/2005;175;4745;custom;mercadopago;Gran Buenos Aires;Capital Federal
10057505044;21/7/2019;100;3029;custom;mercadopago;Capital Federal;Capital Federal
10058088094;21/7/2005;0;8325;custom;mercadopago;Capital Federal;Capital Federal
10059060051;21/7/2001;0;8100;custom;mercadopago;Capital Federal;Capital Federal
10059405971;21/7/2013;719,99;4932;mercado-envios;mercadopago;Gran Buenos Aires;Capital Federal
10059406040;21/7/2013;175;6723;custom;mercadopago;Gran Buenos Aires;Capital Federal
10060470135;21/7/2012;0;3245;custom;mercadopago;Capital Federal;Capital Federal
10062308870;21/7/2004;0;7380;custom;mercadopago;Capital Federal;Capital Federal
10063541647;21/7/2001;100;1680;custom;mercadopago;Capital Federal;Capital Federal
10064191075;21/7/2002;554,99;7680;mercado-envios;mercadopago;Buenos Aires;Capital Federal
10073646398;21/7/2006;100;2529;custom;mercadopago;Capital Federal;Capital Federal
10334211052;21/7/2020;600;4300;custom;mercadopago;Capital Federal;Capital Federal
10334673743;21/7/2020;800;3500;custom;mercadopago;Capital Federal;Capital Federal
10335066629;21/7/2020;400;2600;custom;custom;Gran Buenos Aires;Capital Federal
10335865787;21/7/2020;800;3000;custom;mercadopago;Capital Federal;Capital Federal
10336998537;21/7/2020;800;3500;custom;mercadopago;Capital Federal;Capital Federal
10337502513;21/7/2020;600;4300;custom;mercadopago;Capital Federal;Capital Federal
10337924816;21/7/2020;600;4000;custom;mercadopago;Capital Federal;Capital Federal
10338868460;21/7/2020;800;6300;custom;mercadopago;Capital Federal;Capital Federal
10347643673;21/7/2021;600;3400;custom;mercadopago;Capital Federal;Capital Federal
10348043206;21/7/2021;800;4600;custom;mercadopago;Capital Federal;Capital Federal
10350039790;21/7/2021;900;3700;custom;mercadopago;Capital Federal;Capital Federal
10356225732;21/7/2024;600;4100;custom;mercadopago;Capital Federal;Capital Federal
10356503756;21/7/2022;800;6300;custom;mercadopago;Capital Federal;Capital Federal
10359370821;21/7/2022;800;3100;custom;mercadopago;Capital Federal;Capital Federal
10360080440;21/7/2022;900;3200;custom;mercadopago;Buenos Aires;Capital Federal
10372316831;21/7/2023;400;4300;custom;mercadopago;Gran Buenos Aires;Capital Federal
9878770250;21/7/2011;645;2250;correo-argentino;mercadopago;Gran Buenos Aires;Capital Federal
10128309670;21/7/2003;760;7390;correo-argentino;mercadopago;Capital Federal;Capital Federal
10164351567;21/7/2006;0;955;branch;mercadopago;Capital Federal;Capital Federal
10168464013;21/7/2007;1030;7320;correo-argentino;mercadopago;San Juan;Capital Federal
10190078125;21/7/2008;0;1680;branch;mercadopago;Capital Federal;Capital Federal
10200197389;21/7/2009;645;2405;correo-argentino;mercadopago;Gran Buenos Aires;Capital Federal
10202880684;21/7/2009;0;2650;branch;mercadopago;Capital Federal;Capital Federal
10225360838;21/7/2011;0;7005;branch;mercadopago;Capital Federal;Capital Federal
10232039831;21/7/2012;760;7290;correo-argentino;mercadopago;Capital Federal;Capital Federal
10243785126;21/7/2013;0;1760;branch;mercadopago;Capital Federal;Capital Federal
10249779110;21/7/2013;645;2270;correo-argentino;mercadopago;Gran Buenos Aires;Capital Federal
10256257313;21/7/2014;645;3785;correo-argentino;mercadopago;Gran Buenos Aires;Capital Federal
10286037943;21/7/2016;0;2805;branch;mercadopago;Capital Federal;Capital Federal
